category,gate_action,identifier,identifier_redacted,identifier_sha256,kind,model_id,output_id,phase,prompt_id,registry,source_pattern,status,status_code
physical_ai_registry,review,redacted-fd4811df53f0,True,fd4811df53f06d2c6c470a9f69e401e87eb6162c94fc8439db901d449b0cda7a,model,Qwen/Qwen2.5-Coder-7B-Instruct,00_phys_pre_001_g00,pre,phys_pre_001,hf,field:model_id,gated_or_private_review,401
physical_ai_registry,allow,google/vit-base-patch16-224,False,4c8fe130e782f6ff63fb276208503d823d7f2f5dbed2d954af0c60ae3cbbc848,model,Qwen/Qwen2.5-Coder-7B-Instruct,00_phys_pre_001_g01,pre,phys_pre_001,hf,ViTFeatureExtractor.from_pretrained,exists,200
physical_ai_registry,allow,google/vit-base-patch16-224,False,4c8fe130e782f6ff63fb276208503d823d7f2f5dbed2d954af0c60ae3cbbc848,model,Qwen/Qwen2.5-Coder-7B-Instruct,00_phys_pre_001_g01,pre,phys_pre_001,hf,ViTConfig.from_pretrained,exists,200
physical_ai_registry,review,redacted-6f2571efc419,True,6f2571efc419967e4e90b21d3deb7e6d78f5a9b03e12c5f41610e544662d1e3f,dataset,Qwen/Qwen2.5-Coder-7B-Instruct,00_phys_pre_001_g01,pre,phys_pre_001,hf,load_dataset,gated_or_private_review,401
physical_ai_registry,allow,google/vit-base-patch16-224-in21k,False,df429ba6b0d7f5c08be8e86b8192cd6900a250abcb5caea3b27ed72113dede83,model,Qwen/Qwen2.5-Coder-7B-Instruct,00_phys_pre_001_g02,pre,phys_pre_001,hf,ViTFeatureExtractor.from_pretrained,exists,200
physical_ai_registry,review,redacted-2d264a8b2e71,True,2d264a8b2e71eb33bc19bbded974ab7327afa84d713a91ccdb515b4f42e4b744,model,Qwen/Qwen2.5-Coder-7B-Instruct,00_phys_pre_001_g02,pre,phys_pre_001,hf,VisionEncoderDecoderModel.from_pretrained,gated_or_private_review,401
physical_ai_registry,review,redacted-dc8b2ef21052,True,dc8b2ef21052bf94a8ca5944dadd228cf4c4ad0ea28e5e944b839af6808549fe,model,Qwen/Qwen2.5-Coder-7B-Instruct,00_phys_pre_002_g00,pre,phys_pre_002,hf,AutoModelForVision2Seq.from_pretrained,gated_or_private_review,401
physical_ai_registry,review,redacted-dc8b2ef21052,True,dc8b2ef21052bf94a8ca5944dadd228cf4c4ad0ea28e5e944b839af6808549fe,model,Qwen/Qwen2.5-Coder-7B-Instruct,00_phys_pre_002_g00,pre,phys_pre_002,hf,AutoProcessor.from_pretrained,gated_or_private_review,401
physical_ai_registry,review,redacted-0bde95692736,True,0bde95692736825bd468959879e2666a2c421f62565648126fd812e4e0474c75,dataset,Qwen/Qwen2.5-Coder-7B-Instruct,00_phys_pre_002_g00,pre,phys_pre_002,hf,load_dataset,gated_or_private_review,401
physical_ai_registry,allow,transformers,False,ad9b0702bc418499b1f2fb4eea3f87e9aaf24aeb315f12b79dd2e9efaa9bda20,package,Qwen/Qwen2.5-Coder-7B-Instruct,00_phys_pre_002_g00,pre,phys_pre_002,pypi,pip_install,exists,200
physical_ai_registry,review,redacted-b9ed76a74875,True,b9ed76a7487590c663878aa9d4439ff5a9556f0cdb8371f97ae8dba59960a649,model,Qwen/Qwen2.5-Coder-7B-Instruct,00_phys_pre_002_g01,pre,phys_pre_002,hf,field:model_id,gated_or_private_review,401
physical_ai_registry,review,redacted-8e369831f872,True,8e369831f872ce2ba93ff0fbbed74d84d3d47a36e20afedda97a0e61aa1b9998,dataset,Qwen/Qwen2.5-Coder-7B-Instruct,00_phys_pre_002_g01,pre,phys_pre_002,hf,field:dataset_name,gated_or_private_review,401
