source_file,attack_day,rows,size_bytes,label_count
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,02-03-2018,1048575,352368373,2
Friday-16-02-2018_TrafficForML_CICFlowMeter.csv,16-02-2018,1048575,333723605,4
Friday-23-02-2018_TrafficForML_CICFlowMeter.csv,23-02-2018,1048575,382840456,4
Thuesday-20-02-2018_TrafficForML_CICFlowMeter.csv,20-02-2018,7948748,4054925350,2
Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv,01-03-2018,331125,107842858,3
Thursday-15-02-2018_TrafficForML_CICFlowMeter.csv,15-02-2018,1048575,375945899,3
Thursday-22-02-2018_TrafficForML_CICFlowMeter.csv,22-02-2018,1048575,382636202,4
Wednesday-14-02-2018_TrafficForML_CICFlowMeter.csv,14-02-2018,1048575,358223333,3
Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv,21-02-2018,1048575,328893673,3
Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv,28-02-2018,613104,209249758,3
