artifact_id,citation,claim_type,expected_valid,external_verifier_correct,external_verifier_pred,external_verifier_status,id,regex_suspicion_pred,source_url,split,trust_all_pred
pypi:requests,PyPI package requests version 2.34.2,pypi_version,True,True,True,live,b489161fcd228f5d,True,https://pypi.org/pypi/requests/json,train,True
pypi:requests,PyPI package requests version 2.34.3,pypi_version,False,True,False,cache,c1facfb0956b7a5e,True,https://pypi.org/pypi/requests/json,train,True
pypi:numpy,PyPI package numpy version 2.5.0,pypi_version,True,True,True,live,f32af1a016a2b0c0,True,https://pypi.org/pypi/numpy/json,validation,True
pypi:numpy,PyPI package numpy version 2.5.1,pypi_version,False,True,False,cache,36bb27bdd385450b,True,https://pypi.org/pypi/numpy/json,validation,True
pypi:pandas,PyPI package pandas version 3.0.3,pypi_version,True,True,True,live,82248b12eaba4f8c,True,https://pypi.org/pypi/pandas/json,train,True
pypi:pandas,PyPI package pandas version 3.0.4,pypi_version,False,True,False,cache,4d62c8cf7c95a91a,True,https://pypi.org/pypi/pandas/json,train,True
pypi:flask,PyPI package flask version 3.1.3,pypi_version,True,True,True,live,19b9d506bead9d4d,True,https://pypi.org/pypi/flask/json,validation,True
pypi:flask,PyPI package flask version 3.1.4,pypi_version,False,True,False,cache,fb73f1954c16fa38,True,https://pypi.org/pypi/flask/json,validation,True
pypi:scikit-learn,PyPI package scikit-learn version 1.9.0,pypi_version,True,True,True,live,9e2c9910bfbccf9c,True,https://pypi.org/pypi/scikit-learn/json,train,True
pypi:scikit-learn,PyPI package scikit-learn version 1.9.1,pypi_version,False,True,False,cache,9bac5f5bf7d2c9ba,True,https://pypi.org/pypi/scikit-learn/json,train,True
pypi:pytest,PyPI package pytest version 9.1.1,pypi_version,True,True,True,live,c60d3420e3f73c2f,True,https://pypi.org/pypi/pytest/json,train,True
pypi:pytest,PyPI package pytest version 9.1.2,pypi_version,False,True,False,cache,4098ec5d386c10d4,True,https://pypi.org/pypi/pytest/json,train,True
pypi:fastapi,PyPI package fastapi version 0.138.0,pypi_version,True,True,True,live,f73b5a9ed7cbf20e,True,https://pypi.org/pypi/fastapi/json,train,True
pypi:fastapi,PyPI package fastapi version 0.138.1,pypi_version,False,True,False,cache,6770234c43d46834,True,https://pypi.org/pypi/fastapi/json,train,True
pypi:pydantic,PyPI package pydantic version 2.13.4,pypi_version,True,True,True,live,24eaf898281a2bfb,True,https://pypi.org/pypi/pydantic/json,train,True
pypi:pydantic,PyPI package pydantic version 2.13.5,pypi_version,False,True,False,cache,62904049e63e87de,True,https://pypi.org/pypi/pydantic/json,train,True
pypi:django,PyPI package django version 6.0.6,pypi_version,True,True,True,live,7913642dfb300612,True,https://pypi.org/pypi/django/json,validation,True
pypi:django,PyPI package django version 6.0.7,pypi_version,False,True,False,cache,56a941d59082387f,True,https://pypi.org/pypi/django/json,validation,True
pypi:beautifulsoup4,PyPI package beautifulsoup4 version 4.15.0,pypi_version,True,True,True,live,029bc7cc8759ffab,True,https://pypi.org/pypi/beautifulsoup4/json,validation,True
pypi:beautifulsoup4,PyPI package beautifulsoup4 version 4.15.1,pypi_version,False,True,False,cache,4e8d04c4f031b8f2,True,https://pypi.org/pypi/beautifulsoup4/json,validation,True
npm:react,NPM package react version 19.2.7,npm_version,True,True,True,live,1fc2c324ff328f0d,True,https://registry.npmjs.org/react,train,True
npm:react,NPM package react version 19.2.8,npm_version,False,True,False,cache,1cee8bcad638228f,True,https://registry.npmjs.org/react,train,True
npm:express,NPM package express version 5.2.1,npm_version,True,True,True,live,0479cecbecf01335,True,https://registry.npmjs.org/express,train,True
npm:express,NPM package express version 5.2.2,npm_version,False,True,False,cache,278500e5d91519f1,True,https://registry.npmjs.org/express,train,True
npm:lodash,NPM package lodash version 4.18.1,npm_version,True,True,True,live,1520c0f554565505,True,https://registry.npmjs.org/lodash,strict_holdout,True
npm:lodash,NPM package lodash version 4.18.2,npm_version,False,True,False,cache,264521699b68c02f,True,https://registry.npmjs.org/lodash,strict_holdout,True
npm:axios,NPM package axios version 1.18.1,npm_version,True,True,True,live,cae3da73ce92c17d,True,https://registry.npmjs.org/axios,strict_holdout,True
npm:axios,NPM package axios version 1.18.2,npm_version,False,True,False,cache,9f8bec1200905515,True,https://registry.npmjs.org/axios,strict_holdout,True
npm:vite,NPM package vite version 8.0.16,npm_version,True,True,True,live,cead1182d72afc10,True,https://registry.npmjs.org/vite,train,True
npm:vite,NPM package vite version 8.0.17,npm_version,False,True,False,cache,b48672c8e7138e63,True,https://registry.npmjs.org/vite,train,True
npm:typescript,NPM package typescript version 6.0.3,npm_version,True,True,True,live,ba5cfed91793f72a,True,https://registry.npmjs.org/typescript,train,True
npm:typescript,NPM package typescript version 6.0.4,npm_version,False,True,False,cache,d0103dc074e0b4e6,True,https://registry.npmjs.org/typescript,train,True
npm:webpack,NPM package webpack version 5.107.2,npm_version,True,True,True,live,7cfbcb8bc20bc014,True,https://registry.npmjs.org/webpack,strict_holdout,True
npm:webpack,NPM package webpack version 5.107.3,npm_version,False,True,False,cache,8c5f1ea3220c6eef,True,https://registry.npmjs.org/webpack,strict_holdout,True
npm:next,NPM package next version 16.2.9,npm_version,True,True,True,live,097d12a1223c836b,True,https://registry.npmjs.org/next,strict_holdout,True
npm:next,NPM package next version 16.2.10,npm_version,False,True,False,cache,1d683ebc52312199,True,https://registry.npmjs.org/next,strict_holdout,True
npm:chalk,NPM package chalk version 5.6.2,npm_version,True,True,True,live,94a758092542fae9,True,https://registry.npmjs.org/chalk,train,True
npm:chalk,NPM package chalk version 5.6.3,npm_version,False,True,False,cache,b2aed9731a24acbe,True,https://registry.npmjs.org/chalk,train,True
npm:commander,NPM package commander version 15.0.0,npm_version,True,True,True,live,a83342bacf583471,True,https://registry.npmjs.org/commander,validation,True
npm:commander,NPM package commander version 15.0.1,npm_version,False,True,False,cache,a0bd1ab8ae74e924,True,https://registry.npmjs.org/commander,validation,True
github:psf/requests,GitHub repository psf/requests,github_repo,True,True,True,live,ed963ea09b63418a,True,https://api.github.com/repos/psf/requests,strict_holdout,True
github:psf/requests-next,GitHub repository psf/requests-next,github_repo,False,True,False,not_found,fdef25cf8b7af1ab,True,https://api.github.com/repos/psf/requests-next,train,True
github-tag:psf/requests,GitHub repository psf/requests tag v2.34.2,github_tag,True,True,True,live,fa1a135543c938d8,True,https://api.github.com/repos/psf/requests/tags,strict_holdout,True
github-tag:psf/requests,GitHub repository psf/requests tag 2.34.3,github_tag,False,True,False,cache,930c9330f16edbcb,True,https://api.github.com/repos/psf/requests/tags,strict_holdout,True
github:numpy/numpy,GitHub repository numpy/numpy,github_repo,True,True,True,live,1b0c32a95dfcd329,True,https://api.github.com/repos/numpy/numpy,validation,True
github:numpy/numpy-next,GitHub repository numpy/numpy-next,github_repo,False,True,False,not_found,59670726583cca7c,True,https://api.github.com/repos/numpy/numpy-next,train,True
github-tag:numpy/numpy,GitHub repository numpy/numpy tag with_maskna,github_tag,True,True,True,live,b4778839bb79a313,True,https://api.github.com/repos/numpy/numpy/tags,train,True
github-tag:numpy/numpy,GitHub repository numpy/numpy tag withmaskna.post1,github_tag,False,True,False,cache,648cc53cfbe95666,True,https://api.github.com/repos/numpy/numpy/tags,train,True
github:pandas-dev/pandas,GitHub repository pandas-dev/pandas,github_repo,True,True,True,live,a3a6e602c766396d,True,https://api.github.com/repos/pandas-dev/pandas,validation,True
github:pandas-dev/pandas-next,GitHub repository pandas-dev/pandas-next,github_repo,False,True,False,not_found,bd0fc0d8fa354d41,True,https://api.github.com/repos/pandas-dev/pandas-next,validation,True
github-tag:pandas-dev/pandas,GitHub repository pandas-dev/pandas tag v3.1.0.dev0,github_tag,True,True,True,live,9783f41e3f602d19,True,https://api.github.com/repos/pandas-dev/pandas/tags,train,True
github-tag:pandas-dev/pandas,GitHub repository pandas-dev/pandas tag 3.1.1,github_tag,False,True,False,cache,f3422b35c489dad2,True,https://api.github.com/repos/pandas-dev/pandas/tags,train,True
